Release 14.7 - par P.20131013 (lin64)
Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

Mon Dec  9 12:25:32 2013


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       virtex_55_map.ncd
OUTPUT FILE:      virtex_55_pad.txt
PART TYPE:        xc4vsx55
SPEED GRADE:      -12
PACKAGE:          ff1148

Pinout by Pin Number:

+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name|Pin Usage|Pin Name            |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|AG34      |           |         |VCCO_11             |         |           |11            |          |         |           |         |any******|          |           |                |
|AH1       |           |         |VCCO_12             |         |           |12            |          |         |           |         |any******|          |           |                |
|AH2       |           |IOBS     |IO_L15N_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AH3       |           |IOBM     |IO_L15P_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AH4       |           |IOBS     |IO_L28N_VREF_12     |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AH5       |           |IOBM     |IO_L28P_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AH6       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AH7       |           |IOBS     |IO_L12N_VREF_8      |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AH8       |           |IOBM     |IO_L12P_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AH9       |           |         |VCCAUX              |         |           |              |          |         |           |         |2.5      |          |           |                |
|AH10      |           |IOBM     |IO_L30P_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AH11      |           |         |VCCO_8              |         |           |8             |          |         |           |         |any******|          |           |                |
|AH12      |           |IOBM     |IO_L17P_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AH13      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AH14      |           |LOWCAPIOB|IO_L22N_LC_2        |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AH15      |           |         |VCCINT              |         |           |              |          |         |           |         |1.2      |          |           |                |
|AH16      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AH17      |           |LOWCAPIOB|IO_L8N_GC_CC_LC_4   |UNUSED   |           |4             |          |         |           |         |         |          |           |                |
|AH18      |           |LOWCAPIOB|IO_L3N_GC_LC_4      |UNUSED   |           |4             |          |         |           |         |         |          |           |                |
|AH19      |           |LOWCAPIOB|IO_L3P_GC_LC_4      |UNUSED   |           |4             |          |         |           |         |         |          |           |                |
|AH20      |           |LOWCAPIOB|IO_L21N_LC_2        |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AH21      |           |         |VCCO_2              |         |           |2             |          |         |           |         |any******|          |           |                |
|AH22      |           |LOWCAPIOB|IO_L3N_D10_LC_2     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AH23      |           |IOBM     |IO_L23P_VRN_7       |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AH24      |           |IOBS     |IO_L23N_VRP_7       |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AH25      |           |IOBS     |IO_L28N_VREF_7      |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AH26      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AH27      |           |IOBS     |IO_L16N_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AH28      |           |IOBM     |IO_L6P_7            |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AH29      |           |IOBS     |IO_L6N_7            |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AH30      |           |IOBS     |IO_L32N_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AH31      |           |         |VCCO_11             |         |           |11            |          |         |           |         |any******|          |           |                |
|AH32      |           |IOBM     |IO_L22P_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AH33      |           |IOBS     |IO_L22N_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AH34      |           |IOBS     |IO_L18N_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AJ1       |           |IOBS     |IO_L22N_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AJ2       |           |IOBM     |IO_L22P_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AJ3       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AJ4       |           |IOBS     |IO_L2N_8            |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AJ5       |           |IOBS     |IO_L6N_8            |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AJ6       |           |IOBM     |IO_L6P_8            |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AJ7       |           |IOBS     |IO_L7N_8            |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AJ8       |           |         |VCCO_8              |         |           |8             |          |         |           |         |any******|          |           |                |
|AJ9       |           |IOBS     |IO_L15N_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AJ10      |           |IOBM     |IO_L15P_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AJ11      |           |IOBM     |IO_L23P_VRN_8       |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AJ12      |           |IOBM     |IO_L21P_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AJ13      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AJ14      |           |LOWCAPIOB|IO_L20N_VREF_LC_2   |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AJ15      |           |LOWCAPIOB|IO_L20P_LC_2        |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AJ16      |           |         |VCCAUX              |         |           |              |          |         |           |         |2.5      |          |           |                |
|AJ17      |           |LOWCAPIOB|IO_L8P_GC_CC_LC_4   |UNUSED   |           |4             |          |         |           |         |         |          |           |                |
|AJ18      |           |         |VCCO_4              |         |           |4             |          |         |           |         |any******|          |           |                |
|AJ19      |           |LOWCAPIOB|IO_L7P_GC_VRN_LC_4  |UNUSED   |           |4             |          |         |           |         |         |          |           |                |
|AJ20      |           |LOWCAPIOB|IO_L19P_LC_2        |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AJ21      |           |LOWCAPIOB|IO_L1N_D14_CC_LC_2  |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AJ22      |           |LOWCAPIOB|IO_L1P_D15_CC_LC_2  |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AJ23      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AJ24      |           |IOBS     |IO_L19N_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AJ25      |           |IOBM     |IO_L28P_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AJ26      |           |         |VCCAUX              |         |           |              |          |         |           |         |2.5      |          |           |                |
|AJ27      |           |IOBM     |IO_L16P_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AJ28      |           |         |VCCO_7              |         |           |7             |          |         |           |         |any******|          |           |                |
|AJ29      |           |IOBS     |IO_L1N_7            |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AJ30      |           |IOBM     |IO_L32P_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AJ31      |           |IOBM     |IO_L28P_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AJ32      |           |IOBS     |IO_L28N_VREF_11     |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AJ33      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AJ34      |           |IOBM     |IO_L18P_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AK1       |           |IOBS     |IO_L21N_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AK2       |           |IOBS     |IO_L26N_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AK3       |           |IOBM     |IO_L26P_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AK4       |           |IOBM     |IO_L2P_8            |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AK5       |           |         |VCCO_8              |         |           |8             |          |         |           |         |any******|          |           |                |
|AK6       |           |IOBS     |IO_L10N_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AK7       |           |IOBM     |IO_L7P_8            |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AK8       |           |IOBS     |IO_L11N_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AK9       |           |IOBS     |IO_L28N_VREF_8      |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AK10      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AK11      |           |IOBS     |IO_L23N_VRP_8       |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AK12      |           |IOBS     |IO_L21N_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AK13      |           |LOWCAPIOB|IO_L9P_CC_LC_8      |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AK14      |           |LOWCAPIOB|IO_L4N_D8_VREF_LC_2 |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AK15      |           |         |VCCO_2              |         |           |2             |          |         |           |         |any******|          |           |                |
|AK16      |           |LOWCAPIOB|IO_L24N_CC_LC_2     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AK17      |           |LOWCAPIOB|IO_L4N_GC_VREF_LC_4 |UNUSED   |           |4             |          |         |           |         |         |          |           |                |
|AK18      |           |LOWCAPIOB|IO_L4P_GC_LC_4      |UNUSED   |           |4             |          |         |           |         |         |          |           |                |
|AK19      |           |LOWCAPIOB|IO_L7N_GC_VRP_LC_4  |UNUSED   |           |4             |          |         |           |         |         |          |           |                |
|AK20      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AK21      |           |IOBM     |IO_L5P_7            |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AK22      |           |IOBM     |IO_L13P_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AK23      |           |IOBS     |IO_L13N_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AK24      |           |IOBM     |IO_L19P_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AK25      |           |         |VCCO_7              |         |           |7             |          |         |           |         |any******|          |           |                |
|AK26      |           |IOBS     |IO_L26N_SM6_7       |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AK27      |           |IOBM     |IO_L20P_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AK28      |           |IOBS     |IO_L20N_VREF_7      |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AK29      |           |IOBM     |IO_L1P_7            |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AK30      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AK31      |           |LOWCAPIOB|IO_L25P_CC_LC_11    |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AK32      |           |LOWCAPIOB|IO_L25N_CC_LC_11    |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AK33      |           |IOBM     |IO_L26P_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AK34      |           |IOBS     |IO_L26N_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AL1       |           |IOBM     |IO_L21P_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AL2       |           |         |VCCO_12             |         |           |12            |          |         |           |         |any******|          |           |                |
|AL3       |           |IOBS     |IO_L32N_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AL4       |           |IOBS     |IO_L1N_8            |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AL5       |           |IOBM     |IO_L1P_8            |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AL6       |           |IOBM     |IO_L10P_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AL7       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AL8       |           |IOBM     |IO_L11P_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AL9       |           |IOBM     |IO_L28P_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AL10      |           |LOWCAPIOB|IO_L25N_CC_LC_8     |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AL11      |           |LOWCAPIOB|IO_L25P_CC_LC_8     |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AL12      |           |         |VCCO_8              |         |           |8             |          |         |           |         |any******|          |           |                |
|AL13      |           |LOWCAPIOB|IO_L9N_CC_LC_8      |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AL14      |           |LOWCAPIOB|IO_L4P_D9_LC_2      |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AL15      |           |LOWCAPIOB|IO_L18N_LC_2        |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AL16      |           |LOWCAPIOB|IO_L24P_CC_LC_2     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AL17      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AL18      |           |LOWCAPIOB|IO_L15P_GC_LC_2     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AL19      |           |LOWCAPIOB|IO_L13N_GC_LC_2     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AL20      |           |LOWCAPIOB|IO_L19N_LC_2        |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AL21      |           |IOBS     |IO_L5N_7            |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AL22      |           |         |VCCO_7              |         |           |7             |          |         |           |         |any******|          |           |                |
|AL23      |           |IOBM     |IO_L31P_SM2_7       |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AL24      |           |LOWCAPIOB|IO_L25P_CC_SM7_LC_7 |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AL25      |           |LOWCAPIOB|IO_L25N_CC_SM7_LC_7 |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AL26      |           |IOBM     |IO_L26P_SM6_7       |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AL27      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AL28      |           |IOBM     |IO_L14P_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AL29      |           |IOBS     |IO_L14N_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AL30      |           |IOBS     |IO_L10N_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AL31      |           |IOBS     |IO_L31N_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AL32      |           |         |VCCO_11             |         |           |11            |          |         |           |         |any******|          |           |                |
|AL33      |           |IOBM     |IO_L30P_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AL34      |           |IOBS     |IO_L30N_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AM1       |           |IOBS     |IO_L30N_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AM2       |           |IOBM     |IO_L30P_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AM3       |           |IOBM     |IO_L32P_12          |UNUSED   |           |12            |          |         |           |         |         |          |           |                |
|AM4       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AM5       |           |IOBS     |IO_L14N_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AM6       |           |IOBM     |IO_L14P_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AM7       |           |IOBS     |IO_L18N_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AM8       |           |IOBS     |IO_L22N_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AM9       |           |         |VCCO_8              |         |           |8             |          |         |           |         |any******|          |           |                |
|AM10      |           |IOBS     |IO_L19N_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AM11      |           |IOBS     |IO_L27N_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AM12      |           |IOBM     |IO_L27P_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AM13      |           |IOBM     |IO_L13P_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AM14      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AM15      |           |LOWCAPIOB|IO_L18P_LC_2        |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AM16      |           |LOWCAPIOB|IO_L16N_GC_LC_2     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AM17      |           |LOWCAPIOB|IO_L16P_GC_LC_2     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AM18      |           |LOWCAPIOB|IO_L15N_GC_LC_2     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AM19      |           |         |VCCO_2              |         |           |2             |          |         |           |         |any******|          |           |                |
|AM20      |           |LOWCAPIOB|IO_L13P_GC_LC_2     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AM21      |           |LOWCAPIOB|IO_L9P_CC_LC_7      |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AM22      |           |LOWCAPIOB|IO_L9N_CC_LC_7      |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AM23      |           |IOBS     |IO_L31N_SM2_7       |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AM24      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AM25      |           |IOBS     |IO_L32N_SM1_7       |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AM26      |           |IOBM     |IO_L30P_SM3_7       |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AM27      |           |IOBS     |IO_L30N_SM3_7       |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AM28      |           |LOWCAPIOB|IO_L24N_CC_LC_7     |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AM29      |           |         |VCCO_7              |         |           |7             |          |         |           |         |any******|          |           |                |
|AM30      |           |IOBM     |IO_L10P_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AM31      |           |IOBM     |IO_L31P_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AM32      |           |IOBM     |IO_L27P_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AM33      |           |IOBS     |IO_L27N_11          |UNUSED   |           |11            |          |         |           |         |         |          |           |                |
|AM34      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AN1       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AN2       |           |LOWCAPIOB|IO_L8N_CC_LC_8      |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AN3       |           |LOWCAPIOB|IO_L8P_CC_LC_8      |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AN4       |           |IOBS     |IO_L3N_8            |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AN5       |           |IOBS     |IO_L16N_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AN6       |           |         |VCCO_8              |         |           |8             |          |         |           |         |any******|          |           |                |
|AN7       |           |IOBM     |IO_L18P_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AN8       |           |IOBM     |IO_L22P_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AN9       |           |IOBS     |IO_L32N_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AN10      |           |IOBM     |IO_L19P_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AN11      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AN12      |           |IOBM     |IO_L31P_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AN13      |           |IOBS     |IO_L13N_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AN14      |           |IOBM     |IO_L5P_8            |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AN15      |           |LOWCAPIOB|IO_L8N_D0_LC_2      |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AN16      |           |         |VCCO_2              |         |           |2             |          |         |           |         |any******|          |           |                |
|AN17      |           |         |VREFN_SM            |         |           |              |          |         |           |         |         |          |           |                |
|AN18      |           |         |VREFP_SM            |         |           |              |          |         |           |         |         |          |           |                |
|AN19      |           |         |AVSS_SM             |         |           |              |          |         |           |         |         |          |           |                |
|AN20      |           |LOWCAPIOB|IO_L11P_GC_LC_2     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AN21      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AN22      |           |IOBM     |IO_L27P_SM5_7       |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AN23      |           |IOBS     |IO_L27N_SM5_7       |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AN24      |           |IOBS     |IO_L29N_SM4_7       |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AN25      |           |IOBM     |IO_L32P_SM1_7       |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AN26      |           |         |VCCO_7              |         |           |7             |          |         |           |         |any******|          |           |                |
|AN27      |           |IOBS     |IO_L11N_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AN28      |           |LOWCAPIOB|IO_L24P_CC_LC_7     |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AN29      |           |IOBS     |IO_L18N_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AN30      |           |IOBS     |IO_L7N_7            |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AN31      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AN32      |           |IOBM     |IO_L4P_7            |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AN33      |           |IOBS     |IO_L4N_VREF_7       |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AN34      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AP2       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AP3       |           |         |VCCO_8              |         |           |8             |          |         |           |         |any******|          |           |                |
|AP4       |           |IOBM     |IO_L3P_8            |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AP5       |           |IOBM     |IO_L16P_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AP6       |           |LOWCAPIOB|IO_L24N_CC_LC_8     |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AP7       |           |LOWCAPIOB|IO_L24P_CC_LC_8     |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AP8       |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AP9       |           |IOBM     |IO_L32P_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AP10      |           |IOBS     |IO_L29N_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AP11      |           |IOBM     |IO_L29P_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AP12      |           |IOBS     |IO_L31N_8           |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AP13      |           |         |VCCO_8              |         |           |8             |          |         |           |         |any******|          |           |                |
|AP14      |           |IOBS     |IO_L5N_8            |UNUSED   |           |8             |          |         |           |         |         |          |           |                |
|AP15      |           |LOWCAPIOB|IO_L8P_D1_LC_2      |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AP16      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AP17      |           |IPAD     |VN_SM               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AP18      |           |IPAD     |VP_SM               |UNUSED   |           |              |          |         |           |         |         |          |           |                |
|AP19      |           |         |AVDD_SM             |         |           |              |          |         |           |         |         |          |           |                |
|AP20      |           |LOWCAPIOB|IO_L11N_GC_LC_2     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AP21      |           |IOBM     |IO_L17P_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AP22      |           |IOBS     |IO_L17N_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AP23      |           |         |VCCO_7              |         |           |7             |          |         |           |         |any******|          |           |                |
|AP24      |           |IOBM     |IO_L29P_SM4_7       |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AP25      |           |IOBM     |IO_L15P_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AP26      |           |IOBS     |IO_L15N_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AP27      |           |IOBM     |IO_L11P_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AP28      |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|AP29      |           |IOBM     |IO_L18P_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AP30      |           |IOBM     |IO_L7P_7            |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AP31      |           |IOBM     |IO_L12P_7           |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AP32      |           |IOBS     |IO_L12N_VREF_7      |UNUSED   |           |7             |          |         |           |         |         |          |           |                |
|AP33      |           |         |VCCO_7              |         |           |7             |          |         |           |         |any******|          |           |                |
|B1        |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|B2        |           |IOBS     |IO_L30N_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|B3        |           |IOBM     |IO_L30P_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
|B4        |           |         |GND                 |         |           |              |          |         |           |         |         |          |           |                |
|B5        |           |IOBS     |IO_L22N_6           |UNUSED   |           |6             |          |         |           |         |         |          |           |                |
